Player, Action, Item, Level, Timestamp
betauser5542, setassetdata, OLD CPU, 12,Thu Aug 19 2021 23:32:19 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD COMPUTER FROM GRANDPA, 4,Thu Aug 19 2021 23:27:10 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 11,Thu Aug 19 2021 23:25:32 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 10,Thu Aug 19 2021 23:24:41 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 9,Thu Aug 19 2021 23:24:24 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD COMPUTER FROM GRANDPA, 3,Thu Aug 19 2021 23:23:40 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CALCULATOR, 2,Thu Aug 19 2021 23:23:02 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 8,Thu Aug 19 2021 23:22:37 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 7,Thu Aug 19 2021 23:22:21 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 6,Thu Aug 19 2021 23:22:09 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 5,Thu Aug 19 2021 23:21:53 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 4,Thu Aug 19 2021 23:21:28 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD COMPUTER FROM GRANDPA, 2,Thu Aug 19 2021 23:20:50 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 3,Thu Aug 19 2021 23:20:17 GMT+0200 (Central European Summer Time)
betauser5542, mintasset, OLD COMPUTER FROM GRANDPA, 1,Thu Aug 19 2021 23:19:39 GMT+0200 (Central European Summer Time)
betauser5542, setassetdata, OLD CPU, 2,Thu Aug 19 2021 23:18:33 GMT+0200 (Central European Summer Time)
betauser5542, mintasset, OLD CALCULATOR, 1,Thu Aug 19 2021 23:17:34 GMT+0200 (Central European Summer Time)
betauser5542, mintasset, OLD CPU, 1,Thu Aug 19 2021 23:17:10 GMT+0200 (Central European Summer Time)
betauser5544, mintasset, RAPSBERRY PY, 1,Wed Aug 18 2021 21:57:17 GMT+0200 (Central European Summer Time)
betauser5544, mintasset, OLD COMPUTER FROM GRANDPA, 1,Wed Aug 18 2021 21:50:03 GMT+0200 (Central European Summer Time)
betauser5544, setassetdata, OLD CALCULATOR, 2,Wed Aug 18 2021 21:49:37 GMT+0200 (Central European Summer Time)
betauser5544, mintasset, OLD CPU, 1,Wed Aug 18 2021 21:48:20 GMT+0200 (Central European Summer Time)
betauser5544, mintasset, OLD CALCULATOR, 1,Wed Aug 18 2021 21:48:01 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, MINING FARM, 7,Sat Aug 21 2021 07:55:40 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, MINING FARM, 6,Sat Aug 21 2021 07:23:14 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, MINING FARM, 5,Sat Aug 21 2021 07:10:52 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, MINING FARM, 4,Sat Aug 21 2021 07:10:30 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, MINING FARM, 3,Sat Aug 21 2021 07:06:02 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, MINING FARM, 2,Fri Aug 20 2021 22:01:56 GMT+0200 (Central European Summer Time)
betauser5554, mintasset, MINING FARM, 1,Fri Aug 20 2021 17:45:50 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, BIG MINER, 3,Fri Aug 20 2021 15:20:57 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, HIGH-END ULTRA PC, 6,Fri Aug 20 2021 15:05:20 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, BIG MINER, 2,Thu Aug 19 2021 21:36:50 GMT+0200 (Central European Summer Time)
betauser5554, mintasset, BIG MINER, 1,Thu Aug 19 2021 21:23:21 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, HIGH-END ULTRA PC, 5,Thu Aug 19 2021 20:34:50 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, HIGH-END ULTRA PC, 4,Thu Aug 19 2021 20:33:48 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, HIGH-END ULTRA PC, 3,Thu Aug 19 2021 18:31:33 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, HIGH-END ULTRA PC, 2,Thu Aug 19 2021 17:31:56 GMT+0200 (Central European Summer Time)
betauser5554, mintasset, HIGH-END ULTRA PC, 1,Thu Aug 19 2021 17:26:30 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, CHEAP MINER, 9,Thu Aug 19 2021 16:51:01 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, CHEAP MINER, 8,Thu Aug 19 2021 16:48:42 GMT+0200 (Central European Summer Time)
betauser5554, setassetdata, CHEAP MINER, 7,Thu Aug 19 2021 16:46:09 GMT+0200 (Central European Summer Time)
